CLASSE,TEXTE_AUTRE
Application Mobile/Ch.net,pplication mobile/ch.net
Service en agence,services interne
Service en agence,traitement des services dans n'importe agence
Service en agence,manque personnel et comportement personnels
Attente en agence,manque effectif
Service en agence,comportement personnels
"Améliorer l'offre crédit(taux,process,time)",sans interet
"Améliorer l'offre crédit(taux,process,time)",sans intérêt
Service en agence,tikiouine targa
Service en agence,amélioration de service entre les agences
Attente en agence,manque de personnel au niveau de l'agence
Service en agence,amélioration de service entre les agences
Service en agence,rapidité de traitement des demandes mutation de compte
Service en agence,système
Application Mobile/Ch.net,digitalisation de quelques services sur l'application
Attente en agence,sourire et dynamisme en agence
Service en agence,service client 24h/24h
Application Mobile/Ch.net,compte sur carnet seul sur application
Service en agence,traitement des demandesdes agences non gérante du compte
Frais élevés des produits et services,assurance
Service en agence,disponibilite d'agence casablanca
Service en agence,système en panne 
Service en agence,plafonds virement
Frais élevés des produits et services,commissions élevés / paiement par carte
Service en agence,disponibilité des agences au niveau de l'aéroport
Attente en agence,manque de personnel
Attente en agence,manque de personnel 
Problèmes Gab,la connexion des gab
Service en agence,mutation de compte
"Améliorer l'offre crédit(taux,process,time)",crédit immobilier
Application Mobile/Ch.net,service virement
Service en agence,comportement personnel
Application Mobile/Ch.net,retard des alertes sms et comptabilisation
"Améliorer l'offre crédit(taux,process,time)",les plafonds des credits
Application Mobile/Ch.net,retard de la comptabilisation
Service en agence,système nul en agence
Service en agence,comportement personnel et les chefs  directeur et connexion
Problèmes Gab,retard de délivrance de carte + soucis de système au niveau de l'agence
"Améliorer l'offre crédit(taux,process,time)",surtout pour les jeunes
Application Mobile/Ch.net,des améliorations application pocket bank
Service en agence,manque de personnel (caissier)
Frais élevés des produits et services,les prélèvements 
Application Mobile/Ch.net,facilité et digitaliser la procédure au niveau d'agence
Attente en agence,manque personnels
Service en agence,manque de personnel
Application Mobile/Ch.net,comptabilisation à jour / une application pour les comptes sociétés
Service en agence,manque des personnels au niveau de l'agence
Frais élevés des produits et services,gratuité des attestations  bancaire
Service en agence,disponibilité des personnels au niveau d'agence
Service en agence,traitement des demandes
Service en agence,comportement de personnel
Service en agence,digitaliser les services
Service en agence,retard d'encaissement des chèques
Service en agence,possibilite de faire des virements sur toutes les agences
Service en agence,soucis de système
Service en agence,les personnels ne répond pas au téléphone
Service en agence,améliorer le systeme bancaire
Application Mobile/Ch.net,amélioration  pocket bank
Application Mobile/Ch.net,facilité du traitement des demandes dans une autre agence
Application Mobile/Ch.net,banque populaire au milieu rural
Application Mobile/Ch.net,personnel bp : trouve un problème : au niveau  client essaye de faire une transaction sur bp entreprise un message d'erreur s'affiche '' vous ne possédez aucun compte+ souci virement instanté
Problèmes Gab,week end
"Améliorer l'offre crédit(taux,process,time)",taux d'intérêt
Problèmes Gab,alimentation en weekend
Service en agence,soucis de système  être midi et 14 h
Frais élevés des produits et services,gratuité des alertes sms
Application Mobile/Ch.net,paiements en ligne 
Application Mobile/Ch.net,des instabilités pocket bank
Frais élevés des produits et services,frais du relevé bancaire
Application Mobile/Ch.net,des instabilités pocket bank des paiement  non abouti
Application Mobile/Ch.net,retard de comptabilisation
Service en agence,mutation de compte 
Application Mobile/Ch.net,les publicités pour les opérations effectuées depuis application
Service en agence,le traitement des demandes des client dans n'importe quelle agence
Service en agence,améliorer  le système bancaire
Frais élevés des produits et services,les prélèvements
Frais élevés des produits et services,frais carte élevés
Frais élevés des produits et services,améliorer les offres pour les anciens clients
Service en agence,une amélioration au niveau des horaires de l'agence
Frais élevés des produits et services,commissions retrait interbancaire
Frais élevés des produits et services,montant crédit
Frais élevés des produits et services,la gratuite des services
Application Mobile/Ch.net,retard de la comptabilisation
Frais élevés des produits et services,des  prélèvements injustifié
Application Mobile/Ch.net,retard de comptabilisation
Application Mobile/Ch.net,rib cacheté +relevé bancaire au niveau de pocket bank + qualité de la luminosité au niveau de gab
Problèmes Gab,plafond de la carte
Problèmes Gab,ghichet
Application Mobile/Ch.net,digitalisé les services
Service en agence,manque de personnel + system en panne 
Application Mobile/Ch.net,retard de comptabilisation
Frais élevés des produits et services,diminution des frais de packs pour les étudiants
Frais élevés des produits et services,des  prélèvements  injustifié
Problèmes Gab,gab vide
Service en agence,sercice client
Service en agence,l'agence ne répond pas sur le téléphone
Attente en agence,augmenter personnel de l'agence
Application Mobile/Ch.net,retard de la comptabilisation des opérations
Service en agence,"des cadeaux exemple: stylo, pochette, agenda"
Application Mobile/Ch.net,retard de comptabilisation . souci de téléchargement e-documents
Problèmes Gab,augmentation  des plafonds mad
Application Mobile/Ch.net,commission sur paiement en ligne
Service en agence,l'effectif au niveau de l'agence
Application Mobile/Ch.net,la comptabilisation des opérations
Service en agence,mauvaise comportement avec les clients au niveau de l'agence
Service en agence,réseau système
Application Mobile/Ch.net,plafond des virements
"Améliorer l'offre crédit(taux,process,time)",augmenter le plafond de retrait de la carte monétique
Application Mobile/Ch.net,les frais services
Application Mobile/Ch.net,retard de comptabilisation
Service en agence,facilité la procédure pour obtenir un crédit
Attente en agence,comportement agent
Service en agence,développement de service
Service en agence,le client n'arrive pas à joindre l'agence sur leur numéro
Application Mobile/Ch.net,retard recepection msg chaabi mobile
Application Mobile/Ch.net,retard de comptabilisation
Attente en agence,service trop long
Service en agence,carte gratuite pour les jeunes
Service en agence,compte etudiant gratuit
Problèmes Gab,versement depuis gab
Service en agence,manque de personnel et retard traitement de demande
Service en agence,développement sur l'accueil au niveau de l'agence
Service en agence,disponibilité plus de personnel
Application Mobile/Ch.net,ajouter la mutation de compte sur pocket bank
Service en agence,le changement abusif de personnel
Service en agence,accueil en agence
Application Mobile/Ch.net,rendre tout le service en ligne
Service en agence,plus de formation pour le personnel au niveau de l'agence
Application Mobile/Ch.net,souci virement instantané / erreur application
Service en agence,éliminer la commande cash en avance
Problèmes Gab,"surveillance des personnels  ,"
Problèmes Gab,gab pour les personnes aveugles
Service en agence,le service nul et le comportement des personnels inappropriés
Service en agence,système d'agence problème  connexion
Problèmes Gab,rajouter plus de gab
Application Mobile/Ch.net,document
Service en agence,comportement d'agence
Attente en agence,manque personnels agence
Application Mobile/Ch.net,simplifier les taches
Application Mobile/Ch.net,releves sur champs
Attente en agence,rapidité
Application Mobile/Ch.net,abonnement chaabi net  pour les compte sur carnet seulement
Frais élevés des produits et services,diminution des commissions
Service en agence,accueil au niveau de l'agence
Application Mobile/Ch.net,application pour le compte d'épargne
Service en agence,manque personnels d'agence
Application Mobile/Ch.net,pocket bank
Application Mobile/Ch.net,personnalisation des services depuis pocket bank
Problèmes Gab,versement au niveau de gab
Application Mobile/Ch.net,augmentation des plafonds  virement
Service en agence,retard délivrance  des attestation
Service en agence,manque personnels
Problèmes Gab,affichage sur écran de gab
Application Mobile/Ch.net,pour le compte sur carnet
Problèmes Gab,disponibilité des agences
Application Mobile/Ch.net,application
"Améliorer l'offre crédit(taux,process,time)",les crédits sans intérêt
"Améliorer l'offre crédit(taux,process,time)",crédit immo
Service en agence,manque des personnels au niveau de l'agence
Service en agence,l'agence ne répond pas aux appels des clients
Service en agence,comportement personnel
"Améliorer l'offre crédit(taux,process,time)",pour les retraits
Frais élevés des produits et services,le client demande d'annuler les frais d'assurance non demander par le client
"Améliorer l'offre crédit(taux,process,time)",avance sur salaire
Application Mobile/Ch.net,frais des services auprès  pocket bank
Service en agence,surveillance des carnets de cheque
Application Mobile/Ch.net,mutation de compte
Problèmes Gab,alimentation des gab  
Application Mobile/Ch.net,retard de comptabilisation des opérations
"Améliorer l'offre crédit(taux,process,time)",un retour rapide pour les demandes crédits
Application Mobile/Ch.net,annuler les frais commission 3dhs pour les paiements en ligne
"Améliorer l'offre crédit(taux,process,time)",rapidité pour les demandes crédit
Problèmes Gab,généraliser les alimentations des compte via gab 
Service en agence,les carte international
Service en agence,manque de personnel
Attente en agence,manque d'agence
Service en agence,problème de système en agence
Service en agence,facilite de transfert ente les agent
Application Mobile/Ch.net,l'application pocket bank n'est pas à jour
Service en agence,manque d'agence
Service en agence,mélioré le service des sms
Attente en agence,manque d'agence
"Améliorer l'offre crédit(taux,process,time)",agence pas accordé le crédit
Service en agence,le client souhaite d'ajouter la machine de ticket d'attente dans l'agence
Frais élevés des produits et services,prélèvement non justifiée
Attente en agence,rajouter plus dagents au niveau de les ageneces
Service en agence,le client réclame qu'il doit être plusieurs des agents dans l'agence
Attente en agence,manque de caisse
Frais élevés des produits et services,prélèvement non justifiée
Service en agence,problème au niveau la carte
Service en agence,le client cherche le respect de la part des agents de la banque
Service en agence,améliorer le service des sms
Frais élevés des produits et services,les prélèvement élevé
Service en agence,améliorer le service des sms
Service en agence,lagence ne veut pas fait le versement au autres les banques
Service en agence,retard de traitement
Frais élevés des produits et services,les prélèvements élevés
Frais élevés des produits et services,mauvaise service
Service en agence,retard de virment
Service en agence,retard de traitement
Application Mobile/Ch.net,l'application pocket bank n'est pas à jour
Service en agence,le client cherche le respect de la part des agents de la banque
Application Mobile/Ch.net,retard de traitement
Application Mobile/Ch.net,diminuer les frais de service
Attente en agence,manques des personnels
Service en agence,"absence des personnels , souscis au niveau de la caisse"
Service en agence,contrôle à l'agence
Service en agence,manque des personnels au niveau d'agence
Problèmes Gab,la disponibilité du liquide au niveau des gabs
Problèmes Gab,manque de gab surtout dans les villages
Service en agence,comportement de personnel
"Améliorer l'offre crédit(taux,process,time)",les alertes sms et mail
Service en agence,augmentation des personnels
Service en agence,soucis système  d'agence
Attente en agence,avoir plus d'agences
Application Mobile/Ch.net,retard de reception de virement
Service en agence,manque personnels
Service en agence,mauvaise comportement avec les clients
Service en agence,disponibilité d'agence
Service en agence,ameleoration le site web de bp entreprise
Service en agence,manque pesrsonnel
Attente en agence,retard de sa demande de transfert de compte
Service en agence,perosnnel
Service en agence,des prelevements injustifie
"Améliorer l'offre crédit(taux,process,time)",deminuer le taux de crédit
Application Mobile/Ch.net,activation de la dotation touristique à distance
Application Mobile/Ch.net,débité non servi / application dédiée aux entreprises
Application Mobile/Ch.net,la rapidité de comptabilisation au niveau de pocket bank/chaabi net
Service en agence,le remplacement du personnel au niveau de l'agence pendant la pause déjeuner
Service en agence,rapidité de service
Problèmes Gab,possibilité de retirer un montant minimum de 20dh depuis le gab
Service en agence,comportement de personnel
"Améliorer l'offre crédit(taux,process,time)",améliorer l'offre crédit pour les retraités
Service en agence,des nouvelles mesures pour les comptes retraités
Service en agence,le comportement le personnels de petit villes et la bonne communication avec les clients
Service en agence,manque de personnel a l'agence
Frais élevés des produits et services,les taux de crédit élevés
Service en agence,comportement de personnel
Service en agence,la non prise en charge ses demandes au niveau de l agence
Application Mobile/Ch.net,retard de comptabilisation au niveau de pocket bank/chaabi net
Service en agence,la qualité de service des personnelle de bp
Frais élevés des produits et services,frais eleves des cartes
Frais élevés des produits et services,déminuer les frais
Service en agence,manque des personnels
Service en agence,mauvaise comportement dans quelques agences
Service en agence,système bancaire
"Améliorer l'offre crédit(taux,process,time)",la non validation d'une demande de crédit pour le statut autoentrepreneur
"Améliorer l'offre crédit(taux,process,time)",réduire taux d'intérêt au crédit
Attente en agence,retard de mutation de compte
Service en agence,le comportement de personnel des agences
Service en agence,le syteme down au niveau de l agence ainsi que blocage sur la carte avant la date d'experation
Problèmes Gab,mise à jour régulière pour les gab / comportement de personnel
Service en agence,la prise en charge des demandes des client (pas d'absences des agents)
Service en agence,la dotation touristique soit etre activer automatiquement soit sur l'activation:
Service en agence,des facilités sans se déplacer vers l'agence pour chaque demande
Service en agence,clôture de compte de compte
Attente en agence,retard de comptabilisation
Service en agence,changement chef d agence a chaque fois
Service en agence,mauvaise comportement
Service en agence,le comportement / l'accueil / plafond retrait la carte prima
Service en agence,agence
Frais élevés des produits et services,le prelevemtn des faris assurance sans le demander par le client
Service en agence,manque des personnels
Service en agence,non prise en charge de la demande de client dans une agence qui n'est pas son agence principal
Service en agence,manque personnels au niveau de l agence
Problèmes Gab,tutoriel de paiement de la vignette ne pas mentionner le matricule exemplaire
Problèmes Gab,faire des gab pour le change du devise
Service en agence,lenteur au niveau de service a l'agence
Service en agence,problème de système
Service en agence,mauvaise comportement des personnels
Service en agence,améliorer l'acceuil au niveau de l'agence
"Améliorer l'offre crédit(taux,process,time)",taux
Service en agence,retrait agence
Attente en agence,ajouter des personnels au niveau d'agence
Service en agence,manque de personnel
Service en agence,des facilitées pour les changements de signalétique
Attente en agence,manques des personnels
Service en agence,retard de mutation de compte
Problèmes Gab,amélioration des gab ( des gab pour faire des versements )
Service en agence,retard de réception d'attestation de rib
Service en agence,non prise en charge de sa demande par téléphone
Frais élevés des produits et services,alertes sms à jour
Attente en agence,manques de personnels
Service en agence,le comportement les personnels
"Améliorer l'offre crédit(taux,process,time)",credit sans interet
Service en agence,le comportement du personnel en agence
Service en agence,comportement d'agence
Application Mobile/Ch.net,rapidité de la comptabilisation
Service en agence,retard a l'agence
Application Mobile/Ch.net,retard de la capitalisation
"Améliorer l'offre crédit(taux,process,time)",accepter les demandes de reporter  les traits de credit
Service en agence,service a distance
Attente en agence,manques des personnels
Application Mobile/Ch.net,retard de la comptabilisation au viveau de pocket bank et chaabi net + effectuer la carte la i c@rd rechargeable et non lie directement au solde du compte
Application Mobile/Ch.net,possibilité pour retirer à partir de 20dh
Service en agence,la non prise en charge ses demandes au niveau de l agence
Problèmes Gab,non disponibilité des gab pour dépôt d'argent
Service en agence,la non prise en charge ses demandes auprès de son agence
Service en agence,trop de commissions
"Améliorer l'offre crédit(taux,process,time)",demande de crédit 100% en ligne
Service en agence,comportement du personnels d'agence
Service en agence,plus de personnel à l'agence
Service en agence,mauvaise comportement
Problèmes Gab,capture des cartes au niveau de gab
Frais élevés des produits et services,frais etudiant
Service en agence,système down
Application Mobile/Ch.net,transfert zxpress
Service en agence,mauvais comportement de personnel / retard de comptabilisation
Service en agence,"la cliente demande des pièces monétaire dans les agences vu qu'elle travaille dans une pharmacie , et pour la garde  elle doit ces pièces la"
Application Mobile/Ch.net,retard d 'affichage
Application Mobile/Ch.net,retard de comptabilisation
Service en agence,retard de délivrance
Service en agence,le comportement / la comptabilisation à jour
Attente en agence,manque des personnels
Service en agence,la communication avec les clients et le comportement
Service en agence,comportement des personnels
Service en agence,manque personnel
Service en agence,lenteur au niveau de l'agence
Application Mobile/Ch.net,le client réclame les envois posteaux
Frais élevés des produits et services,le client réclame les envois postaux
Service en agence,le client réclame les envois sms
Service en agence,améliorer le service des sms
Service en agence,manque d'agence
Service en agence,améliorer les services
Service en agence,le client souhaite d'ajouter la machine de ticket d'attente dans l'agence
Service en agence,le client réclame que ses demandes ne sont pas traités au niveau d'autres agences appart son agence habituelle
Service en agence,attente en agence
Problèmes Gab,manque d'agence
Service en agence,retard en en agence
Service en agence,le client réclame qu'il doit être plusieurs des agents dans l'agence
Service en agence,manque de personnel
Service en agence,prélèvement non justifiée
Problèmes Gab,le client reclame que ne peut pes paye les factures par guichet
Problèmes Gab,manque d'agence /manque de gab
Service en agence,retard en agence
Service en agence,retard de virment
Service en agence,le client souhaite une carte international
Problèmes Gab,les numéros est supprimer
Service en agence,le client réclame qu'il doit trouver une façon très rapide pour le versement
Service en agence,attente en agence
Service en agence,retard de virment
Service en agence,prélèvement non justifiée/retard de traitement /mieux communiquer avec le client
Application Mobile/Ch.net,l'application mobile n'est pas à jour
Problèmes Gab,manque de gab
Problèmes Gab,manque d'agence /manque de gab
Problèmes Gab,améliorer le service des sms
Service en agence,le client réclame que ses demandes ne sont pas traités au niveau d'autres agences appart son agence habituelle
Frais élevés des produits et services,retard traitement
Application Mobile/Ch.net,le client réclament que ses demandes ne son pas traités au niveau d'autres agences appart de son agence le client réclament que ses demandes ne son pas traités au niveau d'autres agences appart de son agence habituelle l
"Améliorer l'offre crédit(taux,process,time)",le client demande la facilité de crédit
Service en agence,manque d'agence
Application Mobile/Ch.net,lapplication pocket bank
Service en agence,traiter la demande de client au niveau de nimporte quel agence   bp
Service en agence,la securité
Attente en agence,retard de traitement
Application Mobile/Ch.net,retard de virment
Problèmes Gab,les problemes des gab
Problèmes Gab,les prélèvements non justifiée
Attente en agence,manque de caisse
Application Mobile/Ch.net,lapplication
Problèmes Gab,manque d'agence
Service en agence,retard de traitement
Frais élevés des produits et services,traiter la demande au niveau de  n'importe quel agence
Problèmes Gab,les problèmes de gab
Problèmes Gab,manque d'agence
Frais élevés des produits et services,traiter les demandes de transfere du compte des client rapidement
Service en agence,améliorer la qualité des agents de sécurité
Frais élevés des produits et services,le client réclame les envois des sms
Service en agence,manque de personnel
Problèmes Gab,carte guichet international
Service en agence,le client réclame que ses demandes ne sont pas traités au niveau d'autres agences appart son agence habituelle
Attente en agence,la surveillance an agence
Service en agence,la disponibilité d'un agence tous jours
Application Mobile/Ch.net,problème de système en agence
Problèmes Gab,le client réclame que ses demandes ne sont pas traités au niveau d'autres agences appart son agence habituelle
Service en agence,retard de virment
Service en agence,ameliorer la degitalisation
Service en agence,ne pas recevoir des couriers a ladresse de
Service en agence,traiter la demande de client au niveau de nimporte quel agence bp
Service en agence,manque d'agence
Service en agence,problème de système en agence
Service en agence,rzjouter plus d'agences au niveau de tous le maroc
Frais élevés des produits et services,prélèvement non justifiée
Service en agence,retrad de virment
Service en agence,problème de système en agence
Application Mobile/Ch.net,les comissions injustifié
Application Mobile/Ch.net,améliorer les services en ligne
Service en agence,manque d'agence
Application Mobile/Ch.net,retard de traitement
Service en agence,aider les clients
Service en agence,traiter la demande de client au niveau de n'importe quel agence
Service en agence,faciliter les services
Application Mobile/Ch.net,améliorer le service des sms
Service en agence,la digitalisation
"Améliorer l'offre crédit(taux,process,time)",améliorer les offres de crédit
Service en agence,la possibilité d'avoir le salaire le jour meme de virement
Application Mobile/Ch.net,amélioré le système informatique
Application Mobile/Ch.net,application mobile
Problèmes Gab,parfois y'a pas de fonds aux guichets
Service en agence,réseau
Attente en agence,le comportement des agents au niveau d'agence 
Service en agence,le service elle a parlé de l'accueil et le sourire et aussi l'attente
Problèmes Gab,prb guichet
Application Mobile/Ch.net,frais et commission
Problèmes Gab,prb guichet
Application Mobile/Ch.net,digitalisation des services
Application Mobile/Ch.net,application pocket bank
Service en agence,"remarque: retard des virements , et au niveau des crédits aussi proposer un taux convenable"
Application Mobile/Ch.net,service à distance et une bonne communication
Application Mobile/Ch.net,les prélèvements
Service en agence,communiquer au client tous les prélèvements déduits sur le compte
Attente en agence,autres : alertes sms en retard
Application Mobile/Ch.net,satisfait
Service en agence,prélèvement injustifié
Attente en agence,manque d'agents
Problèmes Gab,prb guichet
Service en agence,satisfait
Service en agence,ajouter une autre agence à tan tan
Problèmes Gab,prb guichet
Application Mobile/Ch.net,souci générale à l'application / les prélèvements
Service en agence,et crc ne donne pas le délais de traitement des problématiques
Attente en agence,agios non justifié
Application Mobile/Ch.net,la mise à jour instantané pour affiché le solde
Service en agence,il faut baisser les frais des produits et services
Problèmes Gab,prb guichet automatique
Problèmes Gab,prb guichet
Service en agence,clôture de compte à distance
Application Mobile/Ch.net,"et aussi le crc , il a dit que les agents parlent comme des robots et sans sentiments"
Application Mobile/Ch.net,pocket bank
Service en agence,remarque : comportement en agence
Frais élevés des produits et services,les frais eleves  des packs et des sms
Application Mobile/Ch.net,"prélèvement injustifié ,"
Application Mobile/Ch.net,frais injustifié
Problèmes Gab,gab pas de solde en weekend ou bien en maintenance
Application Mobile/Ch.net,prélèvement injustifié
Application Mobile/Ch.net,et les prélèvements
Attente en agence,dans la période de pause dej pas de remplaçant surtout dans la caisse
